time_resolution,quote_currency,cointegration_test,adf_threshold,distance_threshold,train_window,test_window,model_type,regression_type,spread_type,rolling_window,signal_logic,signal_scaled_enter,signal_discrete_enter,signal_discrete_exit,signal_stop,signal_reenter,signal_reenter_threshold,pair_allocation,pair_allocation_scaling,overall_return
300,USDT,distance,-2.7,0.16,7d 0H 0M 0S,56d 0H 0M 0S,raw,ols,rolling,2016,scaled,3,2.1500000000000004,0.35000000000000003,4.55,FALSE,0.8500000000000001,scaled,1.3,1.941443060387961
300,USDT,eg,-2.5,0.05,25d 0H 0M 0S,25d 0H 0M 0S,raw,ols,rolling,864,scaled,3,1.3,0.35000000000000003,6.9,TRUE,0.75,equal,1,94.64852209373625
300,BTC,eg,-3.5,0.14,4d 0H 0M 0S,43d 0H 0M 0S,log,ols,rolling,1152,scaled,3,2.3,0.9,4.15,TRUE,1.9500000000000002,equal,1.45,21.85866660363881
300,USDT,distance,-2.3,0.25,24d 0H 0M 0S,48d 0H 0M 0S,log,ols,rolling,6912,scaled,4,1.25,0.55,5,TRUE,0.25,equal,1.4,2.829723941285361
300,USDT,eg,-3.1,0.22000000000000003,32d 0H 0M 0S,28d 0H 0M 0S,log,ols,rolling,9216,scaled,4,2.8,0.35000000000000003,5.95,TRUE,1.4500000000000002,scaled,1.35,3.620433737437679
300,USDT,distance,-2.2,0.13,60d 0H 0M 0S,14d 0H 0M 0S,log,ols,rolling,14400,scaled,3,1.1,0.75,4.65,TRUE,1.7000000000000002,scaled,1.25,1.2225466892549879
300,BTC,distance,-3.2,0.21000000000000002,24d 0H 0M 0S,52d 0H 0M 0S,log,ols,rolling,1440,scaled,2,2.05,0.4,6.050000000000001,TRUE,1.05,equal,1,15.850526391367605
300,BTC,eg,-3,0.07,9d 0H 0M 0S,19d 0H 0M 0S,log,ols,rolling,2592,scaled,2,2.05,0.05,3.65,FALSE,0.2,weighted,1.9500000000000002,1.905268332295859
300,BTC,distance,-2.2,0.14,56d 0H 0M 0S,21d 0H 0M 0S,log,ols,rolling,6912,scaled,3,3,0.6000000000000001,6.6,FALSE,0.25,scaled,1.1,2.118849011111489
300,USDT,distance,-3.75,0.12000000000000001,48d 0H 0M 0S,57d 0H 0M 0S,log,ols,rolling,4608,scaled,2,1.6,0.8,5.1,TRUE,1.55,scaled,1.65,2.2252526649798368
300,USDT,eg,-2.8,0.4,12d 0H 0M 0S,13d 0H 0M 0S,raw,ols,rolling,1728,scaled,2,2.7,0.30000000000000004,6.85,FALSE,0.6000000000000001,weighted,1.6,30.175988871785044
300,BTC,distance,-2.5,0.19,22d 0H 0M 0S,51d 0H 0M 0S,log,ols,rolling,4608,scaled,2,1.25,0.2,4.85,FALSE,0.6000000000000001,scaled,1.35,1.942685769541443
300,BTC,eg,-3.45,0.21000000000000002,8d 0H 0M 0S,16d 0H 0M 0S,log,ols,rolling,2304,scaled,2,2.55,0.65,3.05,TRUE,1.2000000000000002,weighted,1.9500000000000002,9.670874880866998
300,USDT,distance,-2.15,0.16999999999999998,4d 0H 0M 0S,60d 0H 0M 0S,log,ols,rolling,1152,scaled,4,1.85,0.45,3.6,TRUE,0.1,equal,1.45,8.335510685727046
300,BTC,eg,-2.2,0.07,53d 0H 0M 0S,11d 0H 0M 0S,raw,ols,rolling,13824,scaled,3,2.25,0.1,5.4,TRUE,1.25,weighted,1.75,2.7703446885874086
300,BTC,distance,-3.5,0.18,28d 0H 0M 0S,7d 0H 0M 0S,raw,ols,rolling,8064,scaled,3,3,0.35000000000000003,7,FALSE,0.30000000000000004,scaled,1.35,3.354484464770396
300,BTC,distance,-2.8,0.13,18d 0H 0M 0S,10d 0H 0M 0S,log,ols,rolling,5184,scaled,3,1,1,6.9,FALSE,0.45,equal,1.2,3.326961133900548
300,USDT,distance,-3.2,0.33999999999999997,20d 0H 0M 0S,53d 0H 0M 0S,log,ols,rolling,5760,scaled,3,2.1500000000000004,0.6000000000000001,4.65,FALSE,1.2000000000000002,scaled,1.75,2.104970148296858
300,BTC,distance,-3.85,0.3,13d 0H 0M 0S,60d 0H 0M 0S,raw,ols,rolling,2592,scaled,4,2.3,0,5.050000000000001,TRUE,1.35,scaled,1.45,11.241113450705052
300,BTC,distance,-4,0.37,46d 0H 0M 0S,27d 0H 0M 0S,raw,ols,rolling,7200,scaled,4,1.8,0.9500000000000001,3.6,TRUE,0.30000000000000004,equal,1.2,3.283424999413251
300,BTC,distance,-3.2,0.12000000000000001,6d 0H 0M 0S,40d 0H 0M 0S,log,ols,rolling,1728,scaled,2,1.6,0.5,4.5,FALSE,2,weighted,1.85,2.2002549605750743
300,USDT,eg,-2.7,0.33999999999999997,54d 0H 0M 0S,43d 0H 0M 0S,log,ols,rolling,14112,scaled,3,3,0.2,6.300000000000001,FALSE,0.9,scaled,1.9,2.6897530668517255
300,BTC,eg,-2.9,0.11,11d 0H 0M 0S,43d 0H 0M 0S,log,ols,rolling,3168,scaled,2,1.5,0.9500000000000001,4.65,FALSE,1.2000000000000002,scaled,1.55,2.4335678926501645
300,BTC,eg,-3.95,0.37,55d 0H 0M 0S,27d 0H 0M 0S,log,ols,rolling,11520,scaled,4,1.5,0.35000000000000003,5.4,TRUE,0.45,equal,1.65,3.0235521192580976
300,BTC,distance,-3.45,0.16,32d 0H 0M 0S,45d 0H 0M 0S,log,ols,rolling,9216,scaled,4,1.1,0.55,5.9,TRUE,1.6500000000000001,equal,1.2,1.4692648998423559
300,USDT,distance,-2.1,0.33999999999999997,5d 0H 0M 0S,9d 0H 0M 0S,log,ols,rolling,1440,scaled,4,1.8,0.7000000000000001,4.7,TRUE,1.05,scaled,1.7000000000000002,6.8505359764107485
300,BTC,distance,-2.9,0.33999999999999997,36d 0H 0M 0S,22d 0H 0M 0S,raw,ols,rolling,10368,scaled,2,2.5,0.55,6.15,FALSE,1.25,equal,1.75,2.1910089958107224
300,USDT,distance,-3.6,0.08,14d 0H 0M 0S,7d 0H 0M 0S,log,ols,rolling,4032,scaled,2,1,0.7000000000000001,4.4,TRUE,0.8,scaled,1.6,7.789146453749896
300,BTC,distance,-2.4,0.13,8d 0H 0M 0S,37d 0H 0M 0S,raw,ols,rolling,2304,scaled,3,1.7000000000000002,0.30000000000000004,4.2,FALSE,1.6,scaled,1.25,1.5511232096853536
300,USDT,distance,-2.7,0.14,58d 0H 0M 0S,16d 0H 0M 0S,raw,ols,rolling,3168,scaled,2,2.35,0.7000000000000001,5.15,TRUE,0.8,scaled,1.55,4.643466368068018
300,USDT,eg,-2.95,0.24,41d 0H 0M 0S,39d 0H 0M 0S,log,ols,rolling,7200,scaled,3,2.6,1,5.35,FALSE,0.8,weighted,1.25,2.6493089597259645
300,BTC,eg,-3.2,0.33,15d 0H 0M 0S,23d 0H 0M 0S,raw,ols,rolling,4320,scaled,4,1.4,0.15000000000000002,6.4,TRUE,0.2,equal,1.45,7.83083276353657
300,BTC,distance,-3.45,0.08,7d 0H 0M 0S,46d 0H 0M 0S,log,ols,rolling,2016,scaled,3,1.55,0.65,4.5,FALSE,0.35000000000000003,equal,1.5,1.3178665511334478
300,BTC,eg,-3,0.18,41d 0H 0M 0S,12d 0H 0M 0S,log,ols,rolling,10944,scaled,3,2.5,0.6000000000000001,5.95,FALSE,0.35000000000000003,equal,1.55,3.1002492849099
300,USDT,eg,-3.1500000000000004,0.22000000000000003,52d 0H 0M 0S,22d 0H 0M 0S,raw,ols,rolling,3456,scaled,4,2.4000000000000004,0.05,5.5,TRUE,1.6500000000000001,scaled,1.05,15.779608581413576
300,USDT,eg,-2.15,0.21000000000000002,60d 0H 0M 0S,56d 0H 0M 0S,log,ols,rolling,6912,scaled,4,2.8,0.7000000000000001,4.6,TRUE,1.1,weighted,1.1,3.049041104375981
300,USDT,distance,-2.85,0.13,59d 0H 0M 0S,46d 0H 0M 0S,log,ols,rolling,10656,scaled,4,2,0.7000000000000001,4.25,FALSE,0.9500000000000001,scaled,1.55,1.1660568587201567
300,BTC,eg,-3.75,0.1,28d 0H 0M 0S,20d 0H 0M 0S,raw,ols,rolling,8064,scaled,3,1.75,0.5,3,TRUE,1.8,weighted,2,3.8884201062539065
300,USDT,eg,-2.9,0.36,40d 0H 0M 0S,39d 0H 0M 0S,raw,ols,rolling,7488,scaled,2,2.5,0,6.95,FALSE,0.75,weighted,1.8,3.7336250730176115
300,BTC,eg,-3.1500000000000004,0.1,43d 0H 0M 0S,21d 0H 0M 0S,log,ols,rolling,12384,scaled,2,1.6,1,5.65,TRUE,1.25,weighted,1.8,3.0409579538583587
300,USDT,distance,-4,0.13,57d 0H 0M 0S,59d 0H 0M 0S,log,ols,rolling,1152,scaled,3,3,0.8,7,TRUE,1.1500000000000001,scaled,1.05,5.755408560263018
300,USDT,eg,-2.3,0.28,44d 0H 0M 0S,24d 0H 0M 0S,log,ols,rolling,4608,scaled,4,1.85,0.9500000000000001,4.5,FALSE,0.30000000000000004,equal,1.7000000000000002,2.4094907455853773
300,USDT,distance,-2.55,0.3,33d 0H 0M 0S,11d 0H 0M 0S,raw,ols,rolling,4320,scaled,3,2.9000000000000004,0.15000000000000002,4.3,TRUE,0.8500000000000001,equal,1.55,11.0359133810126
300,USDT,distance,-2.15,0.31,52d 0H 0M 0S,57d 0H 0M 0S,log,ols,rolling,6336,scaled,4,1.7000000000000002,0.6000000000000001,5.7,TRUE,1.7000000000000002,weighted,1.05,2.369063009157706
300,BTC,distance,-3.45,0.060000000000000005,51d 0H 0M 0S,3d 0H 0M 0S,raw,ols,rolling,7488,scaled,3,2.8,0.30000000000000004,5.4,FALSE,1.05,scaled,1.4,0.8309643373992732
300,BTC,eg,-3.7,0.05,7d 0H 0M 0S,15d 0H 0M 0S,log,ols,rolling,2016,scaled,4,1.85,0.6000000000000001,5.9,TRUE,1.85,weighted,1.5,8.673733058281131
300,BTC,distance,-2.2,0.3,30d 0H 0M 0S,27d 0H 0M 0S,log,ols,rolling,8640,scaled,2,2.95,0.8,4.35,FALSE,0.8500000000000001,equal,1.75,2.9163601855865915
300,BTC,distance,-2.55,0.18,32d 0H 0M 0S,17d 0H 0M 0S,log,ols,rolling,2880,scaled,3,2.6500000000000004,0.15000000000000002,5.65,FALSE,0.4,scaled,1.3,2.9119450030498966
300,USDT,distance,-2.6,0.38,25d 0H 0M 0S,55d 0H 0M 0S,raw,ols,rolling,7200,scaled,4,2.45,0.8,6.1,FALSE,0.05,equal,1.75,2.416138845297601
300,USDT,eg,-3.1,0.32,44d 0H 0M 0S,17d 0H 0M 0S,log,ols,rolling,8064,scaled,3,2.5,0.45,5.45,TRUE,0.1,weighted,1,4.108388718116633
300,BTC,eg,-2.8,0.2,5d 0H 0M 0S,55d 0H 0M 0S,raw,ols,rolling,1440,scaled,3,2.25,0.15000000000000002,6.35,FALSE,0.9500000000000001,scaled,1,14.222037832757819
300,BTC,distance,-2.1,0.19,43d 0H 0M 0S,21d 0H 0M 0S,raw,ols,rolling,1728,scaled,3,1.75,0.35000000000000003,3.75,TRUE,1.1,weighted,1.9,6.440062030453382
300,BTC,eg,-3.8,0.08,60d 0H 0M 0S,32d 0H 0M 0S,raw,ols,rolling,4896,scaled,4,1.3,0.55,4.6,TRUE,0.4,equal,1.5,10.621683124372787
300,BTC,eg,-3.9000000000000004,0.26,54d 0H 0M 0S,17d 0H 0M 0S,raw,ols,rolling,4896,scaled,3,2.75,0.8500000000000001,3.55,FALSE,0.55,equal,1.65,2.860817623328137
300,BTC,distance,-3.6,0.24,23d 0H 0M 0S,57d 0H 0M 0S,log,ols,rolling,4320,scaled,3,1.25,0.4,5.6,TRUE,1.4500000000000002,scaled,1.65,2.652215048982063
300,BTC,distance,-3.7,0.37,33d 0H 0M 0S,21d 0H 0M 0S,raw,ols,rolling,3456,scaled,3,2.45,0.5,3.55,TRUE,1.9500000000000002,scaled,1.65,4.964689290968523
300,USDT,distance,-2.35,0.14,48d 0H 0M 0S,31d 0H 0M 0S,raw,ols,rolling,5760,scaled,3,2.7,0.65,3.65,FALSE,1.9000000000000001,scaled,1.35,3.740485192428708
300,USDT,distance,-3.1500000000000004,0.27,57d 0H 0M 0S,50d 0H 0M 0S,log,ols,rolling,13248,scaled,3,1.7000000000000002,0.6000000000000001,6.75,TRUE,1.4000000000000001,scaled,1.4,1.9026270848908344
300,BTC,distance,-2,0.36,44d 0H 0M 0S,19d 0H 0M 0S,raw,ols,rolling,7776,scaled,3,1.6,0.05,4,TRUE,1.3,equal,1.65,4.1000236365291025
300,USDT,distance,-2.55,0.39,44d 0H 0M 0S,41d 0H 0M 0S,log,ols,rolling,12672,scaled,3,2.1,0.35000000000000003,5.25,TRUE,1.7000000000000002,scaled,1,2.9150976866477816
300,USDT,eg,-3.95,0.4,22d 0H 0M 0S,60d 0H 0M 0S,raw,ols,rolling,6336,scaled,3,2.4000000000000004,0.65,6.800000000000001,TRUE,1.05,equal,1.85,3.3193511185551356
300,BTC,distance,-2.2,0.11,59d 0H 0M 0S,59d 0H 0M 0S,log,ols,rolling,6048,scaled,4,1.75,0.5,6.2,TRUE,0.05,weighted,1.4,1.4142823962206705
300,BTC,distance,-3.75,0.32,22d 0H 0M 0S,41d 0H 0M 0S,raw,ols,rolling,6336,scaled,2,1.25,1,4.15,TRUE,0.45,equal,1.65,2.320924940451692
300,USDT,distance,-2.6,0.24,37d 0H 0M 0S,21d 0H 0M 0S,raw,ols,rolling,10656,scaled,4,1.25,0.15000000000000002,5.050000000000001,TRUE,1.6500000000000001,equal,1.15,4.334479470440738
300,USDT,eg,-2.4,0.22999999999999998,20d 0H 0M 0S,7d 0H 0M 0S,raw,ols,rolling,5760,scaled,4,1.45,0.9500000000000001,4.05,FALSE,1.85,weighted,1.85,4.882205312523487
300,BTC,distance,-2.35,0.19,54d 0H 0M 0S,51d 0H 0M 0S,raw,ols,rolling,15552,scaled,4,2.35,0.65,4.4,FALSE,0.75,scaled,1.55,1.395656281460812
300,USDT,distance,-2.55,0.05,49d 0H 0M 0S,46d 0H 0M 0S,log,ols,rolling,14112,scaled,4,1.3,0.75,4.5,FALSE,1.5,scaled,2,1.1554985440049486
300,BTC,distance,-2.6,0.4,29d 0H 0M 0S,34d 0H 0M 0S,log,ols,rolling,8352,scaled,4,1,0.4,6.95,TRUE,1.8,equal,1.9500000000000002,2.310691756177262
